"sc-gMacIw","sc-gMacIw 2","sc-gMacIw 3","sc-gMacIw 4","sc-gMacIw 5","sc-gMacIw 6"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.100042792","1987"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.264706365","2014"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.190940272","2015"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.422492479","1997"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","2.151425929","1981"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.488396231","1998"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","2.044814874","1980"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.671134501","2000"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.333008894","2012"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.237423693","1989"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","3.220301902","1990"
"Chad","TCD","Population growth (annual %)","SP.POP.GROW","2.931564116","1986"
"Chad","TCD","Population, total","SP.POP.TOTL","13569438","2014"
"Chad","TCD","Population, total","SP.POP.TOTL","11887202","2010"
"Chad","TCD","Population, total","SP.POP.TOTL","4420716","1979"
"Chad","TCD","Population, total","SP.POP.TOTL","5584339","1988"
"Chad","TCD","Population, total","SP.POP.TOTL","14009413","2015"
"Chad","TCD","Population, total","SP.POP.TOTL","12705135","2012"
"Chad","TCD","Official entrance age to compulsory education (years)","UIS.CEAGE.1","6","2014"
"Chad","TCD","Official entrance age to compulsory education (years)","UIS.CEAGE.1","6","2011"
"Chad","TCD","Official entrance age to compulsory education (years)","UIS.CEAGE.1","6","2006"
"Chad","TCD","Official entrance age to compulsory education (years)","UIS.CEAGE.1","6","2010"
"Chad","TCD","Drop-out rate from Grade 1 of primary education, both sexes (%)","UIS.DR.1.G1","11.558609962","2000"
"Chad","TCD","Drop-out rate from Grade 1 of primary education, both sexes (%)","UIS.DR.1.G1","26.584819794","1995"
"Chad","TCD","Drop-out rate from Grade 2 of primary education, both sexes (%)","UIS.DR.1.G2","3.510240078","2001"
"Chad","TCD","Drop-out rate from Grade 2 of primary education, both sexes (%)","UIS.DR.1.G2","14.191390038","2005"
"Chad","TCD","Drop-out rate from Grade 3 of primary education, both sexes (%)","UIS.DR.1.G3","9.775810242","2002"
"Chad","TCD","Drop-out rate from Grade 3 of primary education, both sexes (%)","UIS.DR.1.G3","21.8228302","1997"
"Chad","TCD","Drop-out rate from Grade 3 of primary education, both sexes (%)","UIS.DR.1.G3","12.644539833","2011"
"Chad","TCD","Drop-out rate from Grade 3 of primary education, both sexes (%)","UIS.DR.1.G3","17.438520432","1991"
"Chad","TCD","Drop-out rate from Grade 4 of primary education, both sexes (%)","UIS.DR.1.G4","15.673080444","1990"
"Chad","TCD","Drop-out rate from Grade 4 of primary education, both sexes (%)","UIS.DR.1.G4","8.821689606","2010"
"Chad","TCD","Drop-out rate from Grade 4 of primary education, both sexes (%)","UIS.DR.1.G4","9.992059708","1971"
"Chad","TCD","Drop-out rate from Grade 4 of primary education, both sexes (%)","UIS.DR.1.G4","24.661520004","1994"
"Chad","TCD","Drop-out rate from Grade 4 of primary education, both sexes (%)","UIS.DR.1.G4","12.415100098","1995"
"Chad","TCD","Drop-out rate from Grade 4 of primary education, both sexes (%)","UIS.DR.1.G4","17.846149445","1997"
"Chad","TCD","Drop-out rate from Grade 4 of primary education, both sexes (%)","UIS.DR.1.G4","13.727040291","2011"
"Chad","TCD","Drop-out rate from Grade 5 of primary education, both sexes (%)","UIS.DR.1.G5","25.631069183","1989"
"Chad","TCD","Drop-out rate from Grade 5 of primary education, both sexes (%)","UIS.DR.1.G5","7.225490093","2012"
"Chad","TCD","Enrolment in pre-primary education, private institutions, both sexes (number)","UIS.E.02.PR","13271","2011"
"Chad","TCD","Enrolment in pre-primary education, public institutions, both sexes (number)","UIS.E.02.PU","9221","2012"
"Chad","TCD","Enrolment in lower secondary general, both sexes (number)","UIS.E.2.GPV","321066","2012"
"Chad","TCD","Enrolment in lower secondary general, both sexes (number)","UIS.E.2.GPV","267748","2008"
"Chad","TCD","Enrolment in lower secondary general, both sexes (number)","UIS.E.2.GPV","305748","2010"
"Chad","TCD","Enrolment in lower secondary general, both sexes (number)","UIS.E.2.GPV","134813","2002"
"Chad","TCD","Enrolment in secondary education, private institutions, both sexes (number)","UIS.E.23.PR","31614","2002"
"Chad","TCD","Enrolment in secondary education, private institutions, both sexes (number)","UIS.E.23.PR","60582","2006"
"Chad","TCD","Enrolment in secondary education, public institutions, both sexes (number)","UIS.E.23.PU","116801","2000"
"Chad","TCD","Enrolment in secondary education, public institutions, both sexes (number)","UIS.E.23.PU","366597","2010"
"Chad","TCD","Enrolment in secondary education, public institutions, both sexes (number)","UIS.E.23.PU","387191","2011"
"Chad","TCD","Enrolment in upper secondary general, both sexes (number)","UIS.E.3.GPV","130113","2012"
"Chad","TCD","Enrolment in upper secondary general, both sexes (number)","UIS.E.3.GPV","134260","2011"
"Chad","TCD","Enrolment in upper secondary general, both sexes (number)","UIS.E.3.GPV","55055","2004"
"Chad","TCD","Enrolment in upper secondary vocational, female (number)","UIS.E.3.V.F","2064","2010"
"Chad","TCD","Enrolment in upper secondary vocational, female (number)","UIS.E.3.V.F","2574","2012"
"Chad","TCD","Enrolment in upper secondary vocational, female (number)","UIS.E.3.V.F","1304","2006"
"Chad","TCD","Enrolment in upper secondary vocational, female (number)","UIS.E.3.V.F","1152","2002"
"Chad","TCD","Early school leavers from primary education, female (number)","UIS.ESL.1.F","56413.73046875","2002"
"Chad","TCD","Early school leavers from primary education, female (number)","UIS.ESL.1.F","129079.765625","2013"
"Chad","TCD","Early school leavers from primary education, female (number)","UIS.ESL.1.F","42889.765625","1999"
"Chad","TCD","Early school leavers from primary education, male (number)","UIS.ESL.1.M","119105.125","2006"
"Chad","TCD","Early school leavers from primary education, male (number)","UIS.ESL.1.M","54794.5390625","1999"
"Chad","TCD","Early school leavers from primary education, male (number)","UIS.ESL.1.M","85708.109375","1998"
"Chad","TCD","Early school leavers from primary education, male (number)","UIS.ESL.1.M","44322","1990"
"Chad","TCD","Early school leavers from primary education, both sexes (number)","UIS.ESL.1.T","107711","1996"
"Chad","TCD","Early school leavers from primary education, both sexes (number)","UIS.ESL.1.T","267296.5625","2013"
"Chad","TCD","Early school leavers from primary education, both sexes (number)","UIS.ESL.1.T","312723.21875","2012"
